date	time	subject	trialcode	trialnum	latency	response	
090607	15:06	823	JAUR65	191	4639	8	
090607	15:06	823	UR65 checkers	192	4809	eat	
090607	15:06	823	JAUR106	193	8289	7	
090607	15:06	823	UR106 eagle	194	3411	eagle	
090607	15:06	823	JALH17	195	12398	8	
090607	15:06	823	LH17 life	196	3716	months	
090607	15:06	823	JAUR04	197	12024	9	
090607	15:06	823	UR04 marsh	198	29141	monster	
090607	15:06	823	JAHL31	199	7894	8	
090607	15:06	823	HL31 war	200	4667	years	
090607	15:06	823	JALH07	201	4342	7	
090607	15:06	823	LH07 rear	202	2118	top	
090607	15:06	823	JAHL33	203	6855	8	
090607	15:06	823	HL33 joke	204	2317	joke	
090607	15:06	823	JAHL01	205	5328	8	
090607	15:06	823	HL01 elephant	206	3283	elephant	
090607	15:06	823	JALH37	207	5298	8	
090607	15:06	823	LH37 pad	208	2852	pad	
090607	15:06	823	JAHL14	209	5029	9	
090607	15:06	823	HL14 milk	210	2180	milk	
090607	15:06	823	JAUR96	211	4868	9	
090607	15:06	823	UR96 dessert	212	4874	future	
090607	15:06	823	JALH32	213	22183	8	
090607	15:06	823	LH32 capacity	214	12662	capability	
090607	15:06	823	JAUR59	215	4681	8	
090607	15:06	823	UR59 copper	216	3366	copy	
090607	15:06	823	JAUR21	217	4976	9	
090607	15:06	823	UR21 ore	218	2862	tree	
090607	15:06	823	JSPR26	1	22110	3	
090607	15:06	823	PR26 colonel	2	6150	arm	
090607	15:06	823	JSPR24	3	15473	8	
090607	15:06	823	PR24 pest	4	3459	pet	
090607	15:06	823	JSPR08	5	6334	10	
090607	15:06	823	PR08 beef	6	3355	beef	
090607	15:06	823	JSPR05	7	13718	10	
090607	15:06	823	PR05 calf	8	3396	year	
090607	15:06	823	JSPR14	9	8248	9	
090607	15:06	823	PR14 religion	10	5401	religion	
090607	15:06	823	JSPR19	11	3507	10	
090607	15:06	823	PR19 void	12	3063	control	
090607	15:06	823	JSPR12	13	4420	10	
090607	15:06	823	PR12 royalty	14	3420	loyalty	
090607	15:06	823	JSPR02	15	7271	6	
090607	15:06	823	PR02 wrinkle	16	3753	wrinkle	
090607	15:06	823	JSPR10	17	6706	8	
090607	15:06	823	PR10 camel	18	5789	camera	
090607	15:06	823	JSPR15	19	10213	8	
090607	15:06	823	PR15 depletion	20	8625	smell	
090607	15:06	823	JSPR20	21	10528	7	
090607	15:06	823	PR20 advertisement	22	4287	control	
090607	15:06	823	JSPR29	23	5971	7	
090607	15:06	823	PR29 mermaid	24	2923	space	
090607	15:06	823	JSPR16	25	4749	9	
090607	15:06	823	PR16 compulsion	26	9770	gain	
090607	15:06	823	JSPR22	27	4214	9	
090607	15:06	823	PR22 ass	28	3983	apart	
090607	15:06	823	JSPR18	29	5349	5	
090607	15:06	823	PR18 clorox	30	2994	clean	
090607	15:06	823	JSUR33	1	23270	7	
090607	15:06	823	UR33 horror	2	9759	scare	
090607	15:06	823	JSUR41	3	3397	9	
090607	15:06	823	UR41 chime	4	2233	cold	
090607	15:06	823	JSLH06	5	3192	5	
090607	15:06	823	LH06 element	6	3262	element	
090607	15:06	823	JSHL40	7	2161	10	
090607	15:06	823	HL40 temperature	8	1543		
090607	15:06	823	JSLH10	9	5038	9	
090607	15:06	823	LH10 care	10	2248	help	
090607	15:06	823	JSHL16	11	5853	8	
090607	15:06	823	HL16 broom	12	3233	clean	
090607	15:06	823	JSLH42	13	7443	5	
090607	15:06	823	LH42 thought	14	3454	thought	
090607	15:06	823	JSLH44	15	4846	8	
090607	15:06	823	LH44 vessel	16	2981	blood	
090607	15:06	823	JSLH41	17	4095	9	
090607	15:06	823	LH41 girl	18	2249	girl	
090607	15:06	823	JSHL08	19	4554	10	
090607	15:06	823	HL08 math	20	2216	math	
090607	15:06	823	JSHL30	21	7928	8	
090607	15:06	823	HL30 air	22	4055	mad	
090607	15:06	823	JSLH34	23	2734	9	
090607	15:06	823	LH34 panel	24	3142	panel	
090607	15:06	823	JSHL37	25	7964	9	
090607	15:06	823	HL37 thread	26	3563	thread	
090607	15:06	823	JSUR23	27	4155	10	
090607	15:06	823	UR23 abundance	28	2107	class	
090607	15:06	823	JSUR94	29	3479	8	
090607	15:06	823	UR94 bristle	30	2447	stuff	
090607	15:06	823	JSLH29	31	5132	8	
090607	15:06	823	LH29 closet	32	2672	closet	
090607	15:06	823	JSUR97	33	4715	8	
090607	15:06	823	UR97 banner	34	2877	banner	
090607	15:06	823	JSUR73	35	2687	7	
090607	15:06	823	UR73 kite	36	3513	sneeze	
090607	15:06	823	JSHL15	37	9106	10	
090607	15:06	823	HL15 bomb	38	3620		
090607	15:06	823	JSUR05	39	3572	7	
090607	15:06	823	UR05 lease	40	2578	tall	
090607	15:06	823	JSLH40	41	11015	7	
090607	15:06	823	LH40 field	42	2256	land	
090607	15:06	823	JSUR09	43	4421	9	
090607	15:06	823	UR09 education	44	3823	education	
090607	15:06	823	JSHL18	45	2252	10	
090607	15:06	823	HL18 paper	46	2735	paper	
090607	15:06	823	JSUR61	47	3630	6	
090607	15:06	823	UR61 suicide	48	2689	control	
090607	15:06	823	JSLH18	49	2956	6	
090607	15:06	823	LH18 edge	50	3878	plead	
090607	15:06	823	JSHL04	51	1587	7	
090607	15:06	823	HL04 beer	52	2674	beer	
090607	15:06	823	JSUR19	53	3746	8	
090607	15:06	823	UR19 bison	54	8296	horse	
090607	15:06	823	JSLH12	55	1835	7	
090607	15:06	823	LH12 addition	56	3006	plug	
090607	15:06	823	JSHL02	57	6120	9	
090607	15:06	823	HL02 flower	58	2507	flower	
090607	15:06	823	JSLH36	59	8202	10	
090607	15:06	823	LH36 gang	60	2818	pirate	
090607	15:06	823	JSLH48	61	4708	5	
090607	15:06	823	LH48 outcome	62	2657	outcome	
090607	15:06	823	JSLH15	63	8460	9	
090607	15:06	823	LH15 blessing	64	3307	blessing	
090607	15:06	823	JSHL35	65	3346	9	
090607	15:06	823	HL35 cake	66	2323	cake	
090607	15:06	823	JSUR40	67	2741	9	
090607	15:06	823	UR40 dancer	68	2618	danger	
090607	15:06	823	JSUR88	69	4000	7	
090607	15:06	823	UR88 circus	70	3980	people	
090607	15:06	823	JSUR81	71	1545	8	
090607	15:06	823	UR81 acid	72	4530	academics	
090607	15:06	823	JSUR92	73	1287	8	
090607	15:06	823	UR92 dart	74	2901	dark	
090607	15:06	823	JSHL44	75	1959	10	
090607	15:06	823	HL44 baseball	76	2882	baseball	
090607	15:06	823	JSHL46	77	1940	8	
090607	15:06	823	HL46 butter	78	4003	butter	
090607	15:06	823	JSUR15	79	3717	9	
090607	15:06	823	UR15 compass	80	2849	heart	
090607	15:06	823	JSLH35	81	2429	9	
090607	15:06	823	LH35 shelter	82	2452	shelter	
090607	15:06	823	JSUR91	83	2797	10	
090607	15:06	823	UR91 anteater	84	2941	eater	
090607	15:06	823	JSLH08	85	6870	9	
090607	15:06	823	LH08 house	86	2428	house	
090607	15:06	823	JSLH21	87	2336	10	
090607	15:06	823	LH21 monument	88	8350	funeral	
090607	15:06	823	JSUR83	89	5023	8	
090607	15:06	823	UR83 lesson	90	16647	standard	
090607	15:06	823	JSHL22	91	5963	7	
090607	15:06	823	HL22 problem	92	2983	problem	
090607	15:06	823	JSLH47	93	5023	9	
090607	15:06	823	LH47 detergent	94	8990	detergent	
090607	15:06	823	JSUR56	95	4347	10	
090607	15:06	823	UR56 antler	96	2742	nervous	
090607	15:06	823	JSUR80	97	2540	8	
090607	15:06	823	UR80 antique	98	9525	plan	
090607	15:06	823	JSUR11	99	8543	4	
090607	15:06	823	UR11 foundation	100	3510	number	
090607	15:06	823	JSHL11	101	7897	8	
090607	15:06	823	HL11 rock	102	2594	rock	
090607	15:06	823	JSLH16	103	4593	9	
090607	15:06	823	LH16 power	104	2212	power	
090607	15:06	823	JSUR18	105	4471	5	
090607	15:06	823	UR18 relief	106	3408	memory	
090607	15:06	823	JSLH39	107	1547	7	
090607	15:06	823	LH39 reward	108	4134	dry	
090607	15:06	823	JSUR79	109	1512	7	
090607	15:06	823	UR79 beetle	110	4247	fruit	
090607	15:06	823	JSUR102	111	8724	1	
090607	15:06	823	UR102 velocity	112	6938	name	
090607	15:06	823	JSUR101	113	4656	5	
090607	15:06	823	UR101 beard	114	4045	soup	
090607	15:06	823	JSUR72	115	2081	7	
090607	15:06	823	UR72 band	116	3302	band	
090607	15:06	823	JSUR51	117	3556	8	
090607	15:06	823	UR51 cabbage	118	2013	car	
090607	15:06	823	JSHL54	119	7108	10	
090607	15:06	823	HL54 indian	120	3946	indian	
090607	15:06	823	JSUR39	121	8943	8	
090607	15:06	823	UR39 faith	122	2402	faith	
090607	15:06	823	JSUR49	123	2044	8	
090607	15:06	823	UR49 casket	124	1789	money	
090607	15:06	823	JSLH49	125	2534	7	
090607	15:06	823	LH49 kindness	126	4841	me	
090607	15:06	823	JSUR10	127	2175	8	
090607	15:06	823	UR10 tribe	128	2047	tribe	
090607	15:06	823	JSHL06	129	1159	9	
090607	15:06	823	HL06 egg	130	2961	deer	
090607	15:06	823	JSUR71	131	1948	8	
