#cue,target,fsg,bsg,qfr,tfr,jcn,jcn_sensed
activity,event,0.013,0,116,81,3.679041,13.95087733
activity,exercise,0.013,0,116,58,3.794044,3.82373432
activity,fun,0.127,0,116,44,6.289902,7.535714452
activity,game,0.053,0,116,123,3.731789,3.760956509
activity,hobby,0.013,0.027,116,4,9.211072,8.879449199
activity,job,0.013,0,116,238,2.411306,2.422810373
activity,movement,0.027,0.014,116,128,3.524838,10.27329856
activity,school,0.013,0,116,492,10.866376,14.1892551
activity,sex,0.02,0,116,84,0.854475,0.877417784
activity,sport,0.127,0,116,17,4.112383,4.169918998
activity,tennis,0.013,0,116,15,8.205532,17.66742675
activity,volleyball,0.013,0,116,1,10.82052,21.11016924
activity,work,0.04,0,116,760,1.640248,1.642390173
actor,actress,0.578,0.507,24,6,0.847032,0.858412945
actor,comedian,0.014,0.027,24,5,2.982084,2.737843216
actor,male,0.014,0,24,37,7.123471,9.718049185
actor,man,0.014,0,24,1207,7.609076,11.42224167
actor,movie,0.074,0.01,24,29,14.920029,17.31689507
actor,person,0.014,0,24,175,4.083433,6.886935771
actor,stage,0.074,0.095,24,174,12.885602,12.85685901
actor,star,0.014,0,24,25,2.197223,5.651181535
actor,television,0.041,0,24,50,14.073407,16.8985248
actor,theater,0.014,0.034,24,29,12.150668,12.18033271
actress,act,0.013,0,6,283,10.11859,14.99646631
actress,actor,0.507,0.578,6,24,0.847032,0.858412945
actress,beauty,0.013,0,6,71,12.11754,12.25622688
actress,fame,0.039,0,6,18,19.055967,18.74143523
actress,girl,0.02,0,6,220,10.07841,11.00566413
actress,model,0.013,0,6,77,11.625609,12.68879719
actress,movie,0.066,0,6,29,15.766902,15.43567624
actress,star,0.046,0,6,25,3.044261,3.070251561
actress,television,0.026,0,6,50,14.920474,15.01730597
actress,woman,0.053,0,6,224,8.689079,11.07875602
ad,advertisement,0.013,0.02,11,2,0,4.77E-09
ad,business,0.02,0,11,392,14.50705,17.28068368
ad,campaign,0.026,0,11,94,16.31348,16.02314363
ad,column,0.02,0,11,71,13.354344,18.05527119
ad,commercial,0.079,0,11,61,1.646253,1.702147311
