Word,Length,Freq_HAL,Log_Freq_HAL,POS,I_Mean_RT,I_NMG_Mean_RT
yearbook,8,880,6.78,NN,609.21,624.71
yearling,8,101,4.62,NN,725.65,672.38
yearlong,8,16,2.77,JJ,735.25,654.23
yearly,6,2845,7.95,JJ|RB,664.91,647.41
yearn,5,348,5.85,VB,739.91,597.93
yearned,7,94,4.54,VB,704.26,651.5
yearning,8,567,6.34,VB|NN,753.24,701.86
yearningly,10,7,1.95,RB,1045.72,788.42
yearnings,9,89,4.49,NN,836.44,680.27
years,5,348898,12.76,NN,558.39,608.43
year's,6,8255,9.02,encl,652,615.85
yeast,5,6894,8.84,NN,628.09,621.58
yeasts,6,385,5.95,NN,705.48,680
yeasty,6,44,3.78,JJ,833.4,716
Yeats,5,402,6,NN,653.11,751.88
yell,4,3322,8.11,NN|VB,672.62,592
yelled,6,2100,7.65,VB,663.78,625.11
yeller,6,63,4.14,NN,861.44,597.07
yelling,7,2918,7.98,VB|NN,636,609.11
yellow,6,19319,9.87,JJ|NN|VB,618.91,560.82
yellowed,8,264,5.58,VB,748.85,621.46
yellowing,9,282,5.64,VB|NN,800.1,625.43
yellowish,9,255,5.54,JJ,680.83,594.5
yelp,4,212,5.36,NN|VB,733.36,598.93
yelped,6,174,5.16,VB,771.65,661.63
yelping,7,90,4.5,VB,856.96,685.7
yelps,5,77,4.34,NN|VB,802.18,634.3
Yemen,5,630,6.45,NN,827.28,689.13
yen,3,3686,8.21,NN|VB,792.26,572.07
yeoman,6,199,5.29,NN,764.7,760.6
yes,3,197092,12.19,minor|NN,596.82,584.74
yesterday,9,21313,9.97,NN|RB,696,597.07
yesterday's,11,1683,7.43,encl,789.53,594.56
yesteryear,10,310,5.74,NN,859.35,778
yet,3,159994,11.98,RB|minor,600.35,595.07
yeti,4,2772,7.93,NN,941.3,738.95
Yiddish,7,768,6.64,NN,725.08,649.54
yield,5,6182,8.73,VB|NN,607.03,672.31
yielded,7,918,6.82,VB,672.21,644.79
yielding,8,926,6.83,VB|NN,657.64,646.92
yields,6,2699,7.9,VB|NN,705.39,648.79
yin,3,1221,7.11,NN,846.62,652.2
yip,3,710,6.57,NN|VB,947.27,626.44
yippee,6,226,5.42,minor|NN,924.48,691.78
yodel,5,132,4.88,NN|VB,907.6,674.96
yodeling,8,47,3.85,VB|NN|JJ,995.82,727.6
yoga,4,1985,7.59,NN,691.67,604.63
yogurt,6,1279,7.15,NN,761.52,573.85
yoke,4,996,6.9,NN|VB,706.5,577.46
yokel,5,53,3.97,NN,722.42,608.4
yokels,6,60,4.09,NN,791.78,673.96
yolk,4,324,5.78,NN,751.58,610.36
yon,3,279,5.63,minor|RB|NN,751.5,618.53
yonder,6,291,5.67,NN,832.09,657.96
Yonkers,7,323,5.78,NN,726.61,614.77
yore,4,383,5.95,NN|minor,755.56,664.92
York,4,79856,11.29,NN,634.17,539.22
Yorker's,8,16,2.77,NULL,803.2,683.35
York's,6,523,6.26,encl,647.91,612.54
Yorkshire,9,1389,7.24,NN,749.27,671.71
Yorktown,8,532,6.28,NN,721.24,609.26
Yosemite,8,617,6.42,NN,891.42,785.96
you,3,5030485,15.43,minor,615.21,584.16
you'd,5,41121,10.62,encl,840.76,657.84
you'll,6,88349,11.39,encl,705.53,642.18
young,5,66849,11.11,JJ|NN,700.34,556.92
younger,7,10673,9.28,JJ,626.13,604.33
youngest,8,1536,7.34,JJ,703.9,608.26
youngish,8,63,4.14,JJ,745.52,652.08
young's,7,451,6.11,encl,839.73,585.69
youngster,9,508,6.23,NN,721.44,603.08
youngsters,10,1043,6.95,NN,727.38,647.58
youngster's,11,41,3.71,NULL,763.16,632.63
your,4,1711893,14.35,minor,612.59,568
you're,6,225850,12.33,encl,679.09,633.88
yours,5,32621,10.39,minor,719.25,560.5
yourself,8,84061,11.34,minor|NN,671.75,600.69
yourselves,10,3506,8.16,minor,845.88,673.15
youth,5,14084,9.55,NN,688.61,692.36
youthful,8,828,6.72,JJ,745.67,645.46
youths,6,873,6.77,NN,731.97,630.96
you've,6,68786,11.14,encl,725.9,633.22
yowl,4,76,4.33,VB|NN,837.5,612.81
Yucatan,7,302,5.71,NN,813.54,870.55
yucca,5,283,5.65,NN,829.54,804.42
Yugoslav,8,3395,8.13,NN,1056.77,816.2
Yugoslavia,10,6875,8.84,NN,843,769.32
Yugoslavian,11,169,5.13,NN|JJ,791.69,795.96
yuletide,8,40,3.69,NN,1119.29,933.28
Zaire,5,561,6.33,NN,819.87,845.95
Zambia,6,288,5.66,NN,849.64,770.24
zany,4,288,5.66,JJ,832.04,634.26
zap,3,3385,8.13,VB|NN,675.81,559.54
zeal,4,700,6.55,NN,707.13,653.39
Zealand,7,13848,9.54,NN,804.29,741.21
zealot,6,1282,7.16,NN,790.41,736.84
zealotry,8,62,4.13,NN,1077.86,1045
zealous,7,367,5.91,JJ,672.86,696.24
zealously,9,188,5.24,RB,775.68,833.19
zebra,5,915,6.82,NN,626.68,643
zeitgeist,9,111,4.71,NN|minor,1129.75,1022.6
Zen,3,2901,7.97,NN,761.85,635.96
wheel,5,19368,9.87,NN|VB,563.42,600.38
wheelbarrow,11,384,5.95,NN,749.55,754.96
wheelbase,9,303,5.71,NN,892.86,675.81
wheelchair,10,1188,7.08,NN,747.5,609.81
wheeled,7,475,6.16,VB,709.44,624
wheeling,8,647,6.47,NN|VB,692.12,644.11
wheels,6,11748,9.37,NN|VB,666.45,591.58
wheelwright,11,14,2.64,NN,934.33,827.81
wheeze,6,115,4.74,VB|NN,686.38,597.71
wheezed,7,36,3.58,VB,742.93,598.79
wheezes,7,20,3,NN|VB,783.36,633.88
wheezing,8,248,5.51,VB,753.58,652.82
wheezy,6,22,3.09,JJ,685.9,612.48
whelp,5,2827,7.95,NN|VB,778.93,616.5
when,4,944467,13.76,minor,610.48,605.38
whence,6,751,6.62,minor,889,666.68
when'd,6,4,1.39,NN,1011.6,698.91
whenever,8,22956,10.04,minor,733.67,611.33
when'll,7,34,3.53,NN,952.33,806.06
when're,7,6,1.79,NN,742.31,1020.5
when's,6,355,5.87,encl,658.13,555.7
when've,7,0,0,NULL,844.75,870.9
where,5,454613,13.03,minor,635.06,586.62
whereabouts,11,1264,7.14,minor|NN|RB,875.8,646.08
whereas,7,11500,9.35,minor,828.93,675.43
whereat,7,7,1.95,minor,1178.82,885.87
whereby,7,2156,7.68,minor,756.63,726.5
where'd,7,423,6.05,encl,930.57,710.16
wherefore,9,199,5.29,minor,867.69,683.19
wherefores,10,36,3.58,NN,1020.2,748.73
wherein,7,2160,7.68,minor|NN,966.96,671.39
where'll,8,5,1.61,NN,1029.76,845.24
whereof,7,255,5.54,RB,804.33,725.46
whereon,7,19,2.94,NN,1018,739.33
where're,8,23,3.14,encl,1055.08,848.38
where's,7,4409,8.39,encl,700.29,597.07
wheresoever,11,16,2.77,minor,1035.5,865.56
whereto,7,6,1.79,minor,868.15,738.72
whereupon,9,538,6.29,minor|NN,859.53,712.96
where've,8,41,3.71,NN,865.53,840.89
wherever,8,6480,8.78,minor,763.28,692.15
wherewith,9,49,3.89,RB,980.89,906.62
wherewithal,11,132,4.88,NN,1181.4,1015.33
whet,4,128,4.85,VB,905.6,619.7
whether,7,112151,11.63,minor,790.61,639.56
whetstone,9,140,4.94,NN,787,847.92
whetted,7,55,4.01,VB,832.4,671.39
whey,4,263,5.57,NN,783.56,719.38
which,5,980925,13.8,minor,632.77,598.71
whichever,9,3305,8.1,minor|RB,1006.69,642.82
whichsoever,11,0,0,minor,996.78,889.89
whiff,5,348,5.85,NN|VB,790.63,558.79
whig,4,86,4.45,NN,711.43,630.71
whigs,5,168,5.12,NN,810.23,616.71
while,5,284228,12.56,minor|NN|VB|JJ,608.5,611.78
whilst,6,4484,8.41,RB,803.2,725.86
whim,4,1623,7.39,NN,699.38,571.96
whimper,7,489,6.19,NN|VB,785.59,633.26
whimpering,10,432,6.07,VB,738.58,641.57
whims,5,767,6.64,NN,715.93,665.64
whimsey,7,25,3.22,NN,819.79,689.04
whimsical,9,335,5.81,JJ,802.87,732.95
whimsy,6,141,4.95,NN,815.97,627.35
whine,5,3757,8.23,NN|VB,684.48,587.71
whined,6,541,6.29,VB,746.46,675.92
whining,7,5294,8.57,VB|JJ,754.58,626.04
whinnied,8,10,2.3,VB,962.5,859.88
whinny,6,37,3.61,NN|VB,818.97,746.64
whip,4,4961,8.51,NN|VB,608.48,536.75
whiplash,8,226,5.42,NN,837.22,657.39
whiplashes,10,5,1.61,NN,982.38,716.59
whipped,7,2097,7.65,VB,644.18,599.82
whippersnapper,14,223,5.41,NN,853.54,833.96
whippet,7,114,4.74,NN,1209.67,658.28
whipping,8,1603,7.38,VB|NN,625.31,595.79
whippoorwill,12,1373,7.22,NN,824.19,1071.18
whips,5,1144,7.04,NN|VB,593.94,571.72
whip's,6,14,2.64,encl,818.73,599.68
whir,4,59,4.08,NN,709.83,660
whirl,5,387,5.96,NN|VB,580.97,560.37
whirled,7,370,5.91,VB,638.97,618.97
whirligig,9,17,2.83,NN|JJ,1006.67,909.62
whirling,8,2788,7.93,VB|NN,655.65,630.79
whirlpool,9,435,6.08,NN,686.39,628.96
whirlwind,9,598,6.39,NN,789.22,662.18
whirlwind's,11,1,0,encl,919.97,747.8
whirring,8,174,5.16,VB|NN,762.64,662.67
whisk,5,300,5.7,NN|VB,634.62,551.5
whisked,7,179,5.19,VB,728.09,639.08
whisker,7,93,4.53,NN,632.59,606.25
whiskered,9,14,2.64,JJ,655.59,664.85
whiskers,8,437,6.08,NN,660.82,596.71
whiskey,7,1364,7.22,NN,622.59,601.22
whisking,8,55,4.01,VB,787.5,667.78
whisky,6,620,6.43,NN,612.24,652.58
whisper,7,1759,7.47,NN|VB,608.65,598
whispered,9,2772,7.93,VB,700.94,656.93
whisperer,9,25,3.22,NN,922.8,650.93
whispering,10,940,6.85,VB,661.06,613.52
whisperings,11,18,2.89,NN,814.16,656.96
whispers,8,1256,7.14,NN|VB,658.86,582.36
whistle,7,2672,7.89,NN,700.82,599.15
whistled,8,283,5.65,VB,687.03,619.81
whistling,9,748,6.62,VB,751.85,646.77
white,5,149742,11.92,JJ|NN,553.97,566.33
whitecap,8,21,3.04,NN,835.24,758.81
whitehaired,11,0,0,JJ,982.21,810.21
whitehead,9,543,6.3,NN,761.12,672.29
whitehead's,11,32,3.47,NULL,842.37,708.96
whitely,7,24,3.18,RB|NN,821.58,789.48
whiten,6,78,4.36,VB,828.83,693.17
whitened,8,152,5.02,JJ|VB,836.69,717.91
whiteness,9,206,5.33,NN,808.19,718.79
whitening,9,2023,7.61,VB|NN|JJ,782.63,726.12
whitens,7,0,0,VB,899,721.5
whites,6,6975,8.85,NN,605.5,611.89
white's,7,681,6.52,encl,692.52,585.85
whitetail,9,186,5.23,NN,833.42,616.7
whitewash,9,195,5.27,NN|VB,759.67,657.19
whitewashed,11,168,5.12,VB,885.77,804.04
whither,7,149,5,minor,815.48,628.74
whiting,7,401,5.99,NN,826.53,753.05
Whitman,7,1518,7.33,NN,815.24,667.95
Whitman's,9,93,4.53,NULL,684.61,645.62
Whitney,7,1830,7.51,NN,733.18,698.68
whittle,7,467,6.15,VB,763.65,681.39
whiz,4,865,6.76,NN,671.67,609.75
whizzed,7,45,3.81,VB,789.03,670.74
whizzing,8,140,4.94,VB,798.43,665.29
who,3,931859,13.74,minor,643.61,578.29
whoa,4,2476,7.81,minor|NN,734.79,632.79
who'd,5,2412,7.79,encl,797.9,656.61
whodunit,8,55,4.01,NN,893.91,862.5
whoever,7,10993,9.31,minor,833.2,701.81
whole,5,120697,11.7,JJ|NN,612.87,568.32
wholeheartedly,14,1505,7.32,RB,898.76,808.58
wholemeal,9,66,4.19,JJ,1053.24,850.54
wholeness,9,190,5.25,NN,705.35,673.63
wholes,6,63,4.14,NN,796.4,775.81
wholesale,9,4518,8.42,JJ,655.31,654.89
wholesalers,11,556,6.32,NN,799.71,679.89
wholesome,9,572,6.35,JJ,653.03,659.42
wholewheat,10,13,2.56,NULL,955,792.74
who'll,6,1088,6.99,encl,843.5,681.22
wholly,6,3258,8.09,RB,750.24,762.22
whom,4,28333,10.25,minor,863.93,669.19
whomever,8,1603,7.38,minor,938.73,786
whoop,5,292,5.68,NN,706.47,615.48
whoopee,7,161,5.08,NN,842.81,787.25
whomsoever,10,49,3.89,minor,967.6,831.92
whooping,8,370,5.91,NN,739.35,673.56
whoosh,6,205,5.32,NN|minor|VB,736.41,612.28
whopper,7,268,5.59,NN,673.56,613.5
whoppers,8,125,4.83,NN,694.13,636.89
whopping,8,747,6.62,JJ|VB,700.07,696.16
whore,5,2885,7.97,NN|VB,605.77,658.84
who're,6,272,5.61,NN,912,818.87
whorehouse,10,152,5.02,NN,921.57,736.72
whoremonger,11,12,2.48,NN,1134.61,1009.89
whores,6,698,6.55,NN|VB,849.75,727.5
whorl,5,29,3.37,NN,776.42,788.33
whorls,6,76,4.33,NN,711.8,663.67
who's,5,23501,10.06,encl,600.89,592.62
whose,5,40623,10.61,minor,672.32,757.78
whosoever,9,564,6.34,minor,1005.43,846.35
who've,6,2839,7.95,encl,890.17,801.15
why,3,361343,12.8,minor,561.65,544.11
why'd,5,228,5.43,NULL,796.07,634.3
why'll,6,1,0,NN,793.25,726.96
why're,6,17,2.83,NN,1150.46,785.9
why's,5,329,5.8,encl,690.8,547.82
why've,6,1,0,NULL,816.58,786.96
Wichita,7,1242,7.12,NN,838.43,875.85
wick,4,559,6.33,NN,629.94,580.62
