Cues,Targets,Forward Strength,Backward Strength,Cue Set Size,# Cue Competitors,Cue Frequency (K&F)
accumulate,acquire,0.026,0.041,20,13,3
accumulate,add,0.053,0,20,13,3
accumulate,addition,0.013,0,20,15,3
accumulate,amass,0.013,missing,20,18,3
accumulate,build,0.04,0,20,15,3
accumulate,clutter,0.026,missing,20,18,3
accumulate,collect,0.159,0,20,12,3
accumulate,gain,0.04,0,20,14,3
accumulate,gather,0.205,0,20,15,3
accumulate,grow,0.02,0,20,16,3
accumulate,lots,0.013,0,20,16,3
accumulate,money,0.02,0,20,11,3
accumulate,numbers,0.013,0,20,14,3
accumulate,paper,0.013,0,20,16,3
accumulate,pile,0.066,0,20,16,3
accumulate,save,0.02,0,20,13,3
accumulate,store,0.02,0,20,16,3
accumulate,things,0.013,0,20,17,3
accumulate,together,0.013,0,20,15,3
accumulate,wealth,0.02,0,20,15,3
accurate,calculator,0.013,0,15,11,35
accurate,close,0.013,0,15,10,35
accurate,concise,0.013,missing,15,12,35
accurate,correct,0.215,0,15,4,35
accurate,detailed,0.013,missing,15,12,35
accurate,exact,0.027,0,15,7,35
accurate,false,0.02,0,15,9,35
accurate,good,0.013,0,15,8,35
accurate,inaccurate,0.013,missing,15,12,35
accurate,perfect,0.013,0,15,5,35
accurate,precise,0.134,0.167,15,6,35
accurate,right,0.168,0,15,5,35
accurate,straight,0.013,0,15,11,35
accurate,true,0.04,0,15,8,35
accurate,wrong,0.013,0,15,6,35
accuse,blame,0.159,0.185,20,15,10
accuse,charge,0.015,0,20,18,10
accuse,claim,0.015,0,20,16,10
accuse,court,0.03,0,20,11,10
accuse,crime,0.038,0,20,16,10
accuse,criminal,0.015,0,20,11,10
accuse,defend,0.023,0,20,15,10
accuse,deny,0.023,0,20,17,10
accuse,guilt,0.038,0,20,14,10
accuse,guilty,0.098,0,20,14,10
accuse,judge,0.023,0,20,14,10
accuse,lawyer,0.03,0,20,11,10
accuse,lie,0.023,0,20,15,10
accuse,point,0.03,0,20,18,10
accuse,police,0.015,0,20,18,10
accuse,prosecute,0.038,0.013,20,10,10
accuse,tell,0.023,0,20,18,10
accuse,trial,0.023,0,20,13,10
accuse,victim,0.038,0.015,20,17,10
accuse,yell,0.023,0,20,19,10
ace,bandage,0.131,0.026,15,12,15
ace,cards,0.303,0,15,10,15
ace,deuce,0.028,missing,15,13,15
ace,expert,0.021,0,15,11,15
ace,hardware,0.021,missing,15,13,15
ace,hole,0.062,0,15,12,15
ace,jack,0.014,0,15,12,15
ace,king,0.021,0,15,12,15
ace,one,0.014,0,15,12,15
ace,poker,0.028,0,15,11,15
ace,smart,0.014,0,15,11,15
ace,spades,0.11,0,15,11,15
ace,tennis,0.021,0,15,12,15
ace,top,0.021,0,15,12,15
ace,winner,0.014,0,15,12,15
ache,back,0.042,0.034,7,5,4
ache,belly,0.014,0.069,7,6,4
ache,head,0.188,0.082,7,5,4
ache,hurt,0.153,0,7,4,4
ache,pain,0.507,0.013,7,2,4
ache,sore,0.021,0.056,7,4,4
ache,tooth,0.014,0.123,7,6,4
achieve,accomplish,0.076,0.122,17,9,51
achieve,conquer,0.015,0,17,12,51
achieve,do,0.038,0.011,17,14,51
achieve,earn,0.015,0,17,14,51
achieve,fail,0.038,0,17,12,51
achieve,finish,0.023,0,17,13,51
achieve,gain,0.053,0.016,17,12,51
achieve,get,0.045,0,17,12,51
achieve,goal,0.22,0.174,17,10,51
achieve,grade,0.023,0,17,15,51
achieve,great,0.015,0,17,16,51
achieve,reach,0.015,0.014,17,13,51
achieve,receive,0.015,0,17,14,51
achieve,strive,0.03,0.139,17,13,51
achieve,succeed,0.038,0.017,17,10,51
achieve,success,0.076,0.013,17,10,51
achieve,win,0.076,0,17,9,51
achievement,a,0.02,0,17,13,65
achievement,accomplish,0.081,0,17,12,65
achievement,award,0.081,0.021,17,13,65
achievement,college,0.013,0,17,12,65
achievement,degree,0.013,0,17,13,65
achievement,failure,0.034,0,17,12,65
achievement,goal,0.221,0,17,12,65
achievement,gpa,0.013,missing,17,16,65
achievement,grade,0.04,0,17,12,65
achievement,great,0.013,0,17,14,65
achievement,honor,0.034,0.014,17,13,65
achievement,money,0.013,0,17,11,65
achievement,pride,0.02,0,17,12,65
achievement,success,0.161,0.02,17,9,65
achievement,test,0.013,0,17,13,65
achievement,win,0.02,0.02,17,8,65
achievement,work,0.02,0,17,11,65
acid,base,0.122,0.046,15,12,13
acid,basic,0.014,0,15,13,13
acid,battery,0.014,0.092,15,13,13
acid,burn,0.15,0,15,11,13
acid,chemical,0.082,0.097,15,9,13
acid,chemistry,0.014,0,15,11,13
acid,dangerous,0.027,0,15,12,13
acid,drop,0.014,0,15,12,13
acid,drug,0.102,0,15,12,13
acid,hit,0.014,0,15,13,13
acid,lsd,0.034,missing,15,14,13
acid,pain,0.014,0,15,12,13
acid,rain,0.177,0,15,12,13
acid,sour,0.014,0,15,13,13
acid,trip,0.061,0.02,15,13,13
acknowledge,accept,0.069,0.02,22,17,12
acknowledge,admit,0.028,0,22,19,12
acknowledge,agree,0.014,0,22,17,12
acknowledge,credit,0.014,0,22,20,12
acknowledge,exist,0.021,0,22,20,12
acknowledge,greet,0.041,0,22,19,12
acknowledge,hello,0.034,0,22,18,12
acknowledge,ignore,0.021,0,22,19,12
acknowledge,know,0.193,0,22,16,12
acknowledge,knowledge,0.014,0,22,18,12
acknowledge,nod,0.021,missing,22,21,12
acknowledge,notice,0.041,0,22,17,12
acknowledge,presence,0.055,0,22,20,12
acknowledge,realize,0.021,0.039,22,16,12
acknowledge,recognition,0.041,0.034,22,15,12
acknowledge,respect,0.021,0,22,20,12
acknowledge,respond,0.014,0,22,17,12
acknowledge,see,0.034,0,22,17,12
acknowledge,show,0.021,0,22,19,12
acknowledge,speak,0.014,0,22,19,12
acknowledge,understand,0.041,0,22,16,12
acknowledge,yes,0.014,0,22,17,12
acorn,chipmunk,0.014,0,6,3,1
acorn,nut,0.122,0,6,4,1
acorn,seed,0.022,0,6,4,1
acorn,squash,0.022,0,6,5,1
acorn,squirrel,0.324,0.061,6,2,1
acorn,tree,0.374,0,6,2,1
acquire,accumulate,0.041,0.026,17,11,27
acquire,ask,0.021,0,17,13,27
acquire,buy,0.021,0,17,11,27
acquire,collect,0.021,0,17,11,27
acquire,gain,0.055,0.016,17,12,27
acquire,get,0.397,0.039,17,6,27
acquire,have,0.014,0,17,10,27
acquire,inherit,0.014,missing,17,16,27
acquire,knowledge,0.041,0,17,15,27
acquire,money,0.014,0,17,7,27
acquire,obtain,0.034,0.021,17,7,27
acquire,own,0.021,0,17,13,27
acquire,receive,0.027,0,17,9,27
acquire,steal,0.014,0,17,11,27
acquire,take,0.048,0,17,10,27
acquire,taste,0.041,0,17,15,27
acquire,wealth,0.014,0,17,13,27
acre,area,0.032,0,9,6,9
acre,farm,0.04,0,9,7,9
acre,green,0.024,0,9,6,9
acre,land,0.675,0.02,9,2,9
acre,lot,0.024,0.02,9,4,9
acre,mile,0.024,0,9,7,9
acre,plot,0.032,0,9,7,9
acre,property,0.016,0,9,6,9
acre,yard,0.024,0,9,5,9
acrobat,air,0.013,0,19,11,0
acrobat,athlete,0.019,0,19,9,0
acrobat,circus,0.175,0,19,12,0
acrobat,dancer,0.026,0,19,11,0
acrobat,flexible,0.013,0,19,9,0
acrobat,flip,0.097,0,19,10,0
acrobat,fly,0.019,0,19,11,0
acrobat,gym,0.026,0,19,11,0
acrobat,gymnast,0.201,0,19,9,0
acrobat,gymnastics,0.045,0.02,19,6,0
acrobat,high wire,0.013,missing,19,13,0
acrobat,juggle,0.019,missing,19,13,0
acrobat,jump,0.019,0,19,8,0
acrobat,limber,0.026,missing,19,13,0
acrobat,olympics,0.013,0,19,8,0
acrobat,rope,0.019,0,19,11,0
acrobat,tightrope,0.013,missing,19,13,0
acrobat,trapeze,0.032,missing,19,13,0
acrobat,u2,0.013,missing,19,13,0
act,actor,0.034,0,16,9,283
act,do,0.074,0.017,16,13,283
act,drama,0.061,0.2,16,10,283
act,fail,0.014,0,16,13,283
act,out,0.014,0,16,14,283
act,perform,0.02,0.291,16,9,283
act,play,0.182,0,16,7,283
act,portray,0.02,0.247,16,10,283
act,pretend,0.176,0.115,16,11,283
act,real,0.014,0,16,13,283
act,sat,0.02,missing,16,15,283
act,sing,0.014,0,16,12,283
act,smart,0.014,0,16,14,283
act,test,0.027,0,16,13,283
act,theater,0.101,0.014,16,10,283
act,tough,0.02,0,16,14,283
action,adventure,0.051,0.019,20,17,291
action,camera,0.022,0,20,18,291
action,do,0.014,0.017,20,16,291
action,exciting,0.014,0,20,16,291
action,fast,0.014,0,20,13,291
action,fight,0.014,0,20,18,291
action,game,0.014,0,20,17,291
action,go,0.022,0,20,13,291
action,motion,0.058,0.036,20,14,291
action,move,0.043,0,20,12,291
action,movement,0.13,0.141,20,14,291
action,movie,0.087,0,20,16,291
action,packed,0.022,missing,20,19,291
action,reaction,0.094,0.103,20,18,291
action,run,0.051,0,20,13,291
action,speed,0.014,0,20,16,291
action,stop,0.014,0,20,13,291
action,suspense,0.022,0.013,20,17,291
action,take,0.022,0,20,18,291
action,verb,0.029,0.101,20,17,291
active,alive,0.013,0,21,15,88
active,athletic,0.06,0,21,13,88
active,boy,0.013,0,21,16,88
active,busy,0.08,0,21,15,88
active,energy,0.047,0,21,14,88
active,exercise,0.04,0,21,12,88
active,fit,0.013,0,21,14,88
active,happy,0.013,0,21,13,88
active,healthy,0.013,0,21,11,88
active,hyper,0.02,0.295,21,16,88
active,inactive,0.047,missing,21,18,88
active,involved,0.013,missing,21,18,88
active,lazy,0.033,0.02,21,13,88
active,lifestyle,0.013,0,21,16,88
active,moving,0.027,missing,21,18,88
active,passive,0.047,0.118,21,16,88
active,run,0.053,0,21,16,88
active,runner,0.013,0,21,17,88
active,running,0.013,0,21,15,88
active,sports,0.087,0,21,16,88
active,young,0.013,0,21,16,88
activity,active,0.02,0,22,14,116
activity,basketball,0.027,0,22,15,116
activity,busy,0.08,0,22,14,116
activity,energy,0.033,0,22,15,116
activity,event,0.013,0,22,18,116
activity,exercise,0.013,0,22,15,116
activity,extracurricular,0.02,missing,22,21,116
activity,fun,0.127,0,22,12,116
activity,game,0.053,0,22,12,116
activity,hobby,0.013,0.027,22,15,116
activity,job,0.013,0,22,17,116
activity,lazy,0.027,0,22,15,116
activity,movement,0.027,0.014,22,19,116
activity,play,0.02,0,22,15,116
activity,run,0.04,0,22,16,116
activity,school,0.013,0,22,17,116
activity,sex,0.02,0,22,19,116
activity,sport,0.127,0,22,12,116
activity,tennis,0.013,0,22,17,116
activity,tired,0.013,0,22,14,116
activity,volleyball,0.013,0,22,14,116
activity,work,0.04,0,22,11,116
actor,actress,0.578,0.507,14,6,24
actor,comedian,0.014,0.027,14,10,24
actor,hollywood,0.014,missing,14,11,24
actor,male,0.014,0,14,9,24
actor,man,0.014,0,14,8,24
actor,movie,0.074,0.01,14,6,24
actor,person,0.014,0,14,9,24
actor,play,0.027,0.013,14,8,24
actor,role,0.014,missing,14,11,24
actor,stage,0.074,0.095,14,7,24
actor,star,0.014,0,14,8,24
actor,television,0.041,0,14,8,24
actor,theater,0.014,0.034,14,7,24
actor,thespian,0.02,missing,14,11,24
actress,act,0.013,0,11,9,6
actress,actor,0.507,0.578,11,6,6
actress,beauty,0.013,0,11,6,6
actress,fame,0.039,0,11,8,6
actress,girl,0.02,0,11,6,6
actress,model,0.013,0,11,7,6
actress,movie,0.066,0,11,7,6
actress,pretty,0.013,0,11,7,6
actress,star,0.046,0,11,7,6
actress,television,0.026,0,11,7,6
actress,woman,0.053,0,11,8,6
ad,advertise,0.013,missing,19,17,11
ad,advertisement,0.013,0.02,19,8,11
ad,business,0.02,0,19,13,11
ad,campaign,0.026,0,19,15,11
ad,classified,0.026,missing,19,17,11
ad,column,0.02,0,19,14,11
ad,commercial,0.079,0,19,11,11
ad,drop,0.04,0,19,16,11
ad,gone,0.013,0,19,16,11
ad,magazine,0.04,0,19,13,11
ad,message,0.013,0,19,15,11
ad,money,0.013,0,19,10,11
ad,news,0.013,0,19,13,11
ad,newspaper,0.252,0.03,19,11,11
ad,paper,0.079,0,19,11,11
ad,sale,0.013,0,19,13,11
ad,sell,0.033,0,19,12,11
ad,subtract,0.079,0,19,16,11
ad,television,0.026,0,19,13,11
add,drop,0.011,0.08,11,10,88
add,increase,0.017,0.041,11,8,88
add,join,0.011,0,11,10,88
add,math,0.017,0.042,11,5,88
add,minus,0.022,0.034,11,7,88
add,more,0.011,0,11,7,88
add,multiply,0.05,0.116,11,5,88
add,numbers,0.011,0.014,11,8,88
add,plus,0.094,0.157,11,7,88
add,subtract,0.685,0.692,11,6,88
add,sum,0.017,0.284,11,9,88
addict,alcohol,0.02,0,9,6,1
addict,cocaine,0.04,0.02,9,5,1
addict,crazy,0.02,0,9,7,1
addict,dependent,0.013,0,9,5,1
addict,drugs,0.691,0.028,9,2,1
addict,helpless,0.013,missing,9,8,1
addict,heroin,0.034,0.02,9,5,1
addict,hooked,0.027,0.014,9,6,1
addict,need,0.02,0,9,6,1
addiction,bad,0.014,0,8,3,3
addiction,cocaine,0.055,0.02,8,3,3
addiction,crack,0.021,0,8,4,3
addiction,drug,0.664,0.034,8,3,3
addiction,habit,0.014,0.021,8,4,3
addiction,jane's,0.034,missing,8,7,3
addiction,need,0.055,0,8,6,3
addiction,problem,0.041,0,8,5,3
addition,add,0.026,0,8,2,142
addition,also,0.013,missing,8,7,142
addition,extra,0.013,0,8,4,142
addition,math,0.124,0,8,3,142
addition,more,0.039,0,8,3,142
addition,numbers,0.013,0,8,4,142
addition,plus,0.078,0,8,2,142
addition,subtraction,0.621,0.507,8,4,142
address,book,0.073,0,16,13,77
address,city,0.013,0,16,11,77
address,home,0.273,0,16,9,77
address,house,0.093,0,16,10,77
address,letter,0.02,0,16,10,77
address,live,0.013,0,16,12,77
address,mail,0.04,0,16,12,77
address,mine,0.013,0,16,12,77
address,name,0.027,0.049,16,11,77
address,new york,0.013,0,16,11,77
address,number,0.02,0.014,16,10,77
address,phone,0.133,0,16,10,77
address,residence,0.02,missing,16,14,77
address,street,0.087,0,16,11,77
address,talk,0.013,0,16,12,77
address,zip code,0.02,missing,16,14,77
adjective,adverb,0.152,0.274,11,5,2
adjective,blue,0.014,0,11,10,2
adjective,describe,0.051,0,11,9,2
adjective,english,0.043,0,11,4,2
adjective,learn,0.014,0,11,9,2
adjective,noun,0.333,0.038,11,5,2
adjective,objective,0.029,0,11,8,2
adjective,pronoun,0.022,0.059,11,4,2
adjective,subjective,0.014,0.014,11,7,2
adjective,verb,0.181,0.027,11,5,2
adjective,word,0.014,0,11,4,2
adjourn,close,0.027,0,16,13,2
adjourn,court,0.081,0,16,12,2
adjourn,dismiss,0.06,0,16,11,2
adjourn,end,0.141,0,16,9,2
adjourn,finish,0.04,0,16,9,2
adjourn,go,0.013,0,16,8,2
adjourn,join,0.013,0,16,11,2
adjourn,judge,0.013,0,16,12,2
adjourn,leave,0.201,0,16,9,2
adjourn,meeting,0.067,0.048,16,13,2
adjourn,next,0.013,missing,16,14,2
adjourn,over,0.027,0,16,11,2
adjourn,quit,0.02,0,16,6,2
adjourn,recess,0.02,missing,16,14,2
adjourn,start,0.013,0,16,7,2
adjourn,stop,0.047,0,16,9,2
adjustment,alter,0.041,0,14,7,35
adjustment,arrange,0.014,missing,14,10,35
adjustment,belt,0.02,0,14,9,35
adjustment,bra,0.02,0,14,9,35
adjustment,car,0.014,0,14,7,35
adjustment,change,0.209,0,14,7,35
adjustment,chiropractor,0.02,missing,14,10,35
adjustment,compromise,0.014,missing,14,10,35
adjustment,correction,0.02,missing,14,10,35
adjustment,fix,0.196,0,14,7,35
adjustment,knob,0.014,0,14,9,35
adjustment,loose,0.014,0,14,9,35
adjustment,move,0.061,0,14,7,35
adjustment,television,0.014,0,14,9,35
admire,admonish,0.017,missing,17,15,10
admire,adore,0.039,0.091,17,9,10
admire,beautiful,0.011,0,17,14,10
admire,beauty,0.028,0,17,13,10
admire,compliment,0.022,0,17,13,10
admire,cute,0.011,0,17,13,10
admire,dislike,0.011,0,17,13,10
