"group","partno","matched.partno","cue","target","expnorm","judgment","fsg","bsg"
"exp",585,363,"melody","rhythm",40,100,3.6,1
"exp",585,363,"organize","clean",80,80,9,0
"exp",585,363,"organize","together",60,40,2.1,0
"exp",585,363,"pupil","color",40,100,NA,NA
"exp",585,363,"pupil","dilate",100,100,NA,NA
"matched",685,363,"assist","goal",40,100,NA,NA
"matched",685,363,"assist","helper",80,80,NA,NA
"matched",685,363,"assist","manager",20,60,NA,NA
"matched",685,363,"bashful","red",80,80,NA,NA
"matched",685,363,"bashful","scared",20,60,NA,NA
"matched",685,363,"before","after",100,100,85.9,57.1
"matched",685,363,"before","beginning",80,100,NA,NA
"matched",685,363,"before","pre",60,80,NA,NA
"matched",685,363,"before","prerequisite",20,60,NA,NA
"matched",685,363,"beginning","after",40,100,NA,NA
"matched",685,363,"beginning","end",80,100,74.7,0
"matched",685,363,"beginning","life",60,80,NA,NA
"matched",685,363,"body","skinny",80,80,1.4,0
"matched",685,363,"break","out",80,100,NA,NA
"matched",685,363,"break","snapped",20,40,NA,NA
"matched",685,363,"car","engine",80,80,1.1,35.9
"matched",685,363,"car","machine",20,60,NA,NA
"matched",685,363,"car","storage",60,40,NA,NA
"matched",685,363,"car","transportation",100,100,3.3,59.5
"matched",685,363,"casual","comfortable",20,80,5.4,0
"matched",685,363,"casual","same",60,80,NA,NA
"matched",685,363,"challenge","difficult",40,100,2.7,0
"matched",685,363,"challenge","goal",100,100,1.4,0
"matched",685,363,"chowder","clam",40,100,75.5,4.2
"matched",685,363,"chowder","soup",100,100,12.9,1.2
"matched",685,363,"chowder","white",60,60,NA,NA
"matched",685,363,"cinema","candy",100,60,NA,NA
"matched",685,363,"closed","jammed",20,20,NA,NA
"matched",685,363,"closed","locked",60,60,NA,NA
"matched",685,363,"closed","occupied",20,40,NA,NA
"matched",685,363,"cloth","colorful",60,40,NA,NA
"matched",685,363,"cloth","small",100,60,NA,NA
"matched",685,363,"cloth","soft",80,80,3,0
"matched",685,363,"cloth","towel",40,100,1.8,6.8
"matched",685,363,"common","normal",60,60,4.8,0
"matched",685,363,"common","qualities",40,100,NA,NA
"matched",685,363,"computer","hard",80,80,NA,NA
"matched",685,363,"computer","information",40,100,NA,NA
"matched",685,363,"computer","internet",100,100,NA,NA
"matched",685,363,"dancer","talent",20,80,NA,NA
"matched",685,363,"difficult","hard",100,100,59.4,0
"matched",685,363,"difficult","life",40,60,NA,NA
"matched",685,363,"melody","composer",60,60,NA,NA
"matched",685,363,"melody","music",100,100,24.3,2
"matched",685,363,"melody","piano",20,80,NA,NA
"matched",685,363,"melody","rhythm",40,80,3.6,1
"matched",685,363,"organize","clean",80,100,9,0
"matched",685,363,"organize","together",60,100,2.1,0
"matched",685,363,"pupil","color",40,100,NA,NA
"matched",685,363,"pupil","dilate",100,100,NA,NA
"exp",601,379,"assist","secretary",20,40,NA,NA
"exp",601,379,"assist","servant",40,40,NA,NA
"exp",601,379,"bashful","dwarf",20,40,NA,NA
"exp",601,379,"bashful","shy",100,100,73,7.6
"exp",601,379,"before","first",100,100,NA,NA
"exp",601,379,"before","last",40,100,NA,NA
"exp",601,379,"beginning","end",100,100,74.7,0
"exp",601,379,"beginning","last",60,100,NA,NA
"exp",601,379,"body","soul",60,40,3.4,3.4
"exp",601,379,"body","torso",20,20,NA,NA
"exp",601,379,"break","broken",60,60,2.2,3.4
"exp",601,379,"break","cracked",80,60,NA,NA
"exp",601,379,"break","torn",40,20,NA,NA
"exp",601,379,"car","drive",20,100,12.2,48
"exp",601,379,"car","roads",60,60,NA,NA
"exp",601,379,"car","travel",80,80,3.9,6.1
"exp",601,379,"casual","clothes",80,60,9.5,0
"exp",601,379,"casual","jeans",40,40,6.1,2.7
"exp",601,379,"casual","normal",100,100,1.4,0
"exp",601,379,"casual","picnics",20,40,NA,NA
"exp",601,379,"challenge","difficult",60,80,2.7,0
"exp",601,379,"challenge","hard",100,80,8.2,0
"exp",601,379,"challenge","risk",20,40,NA,NA
"exp",601,379,"chowder","clam",80,100,75.5,4.2
"exp",601,379,"chowder","corn",60,100,NA,NA
"exp",601,379,"chowder","thick",100,100,NA,NA
"exp",601,379,"cinema","movies",60,100,NA,NA
"exp",601,379,"closed","doors",100,100,NA,NA
"exp",601,379,"closed","windows",80,80,NA,NA
"exp",601,379,"cloth","towel",40,60,1.8,6.8
"exp",601,379,"common","frequent",80,80,NA,NA
"exp",601,379,"common","normal",40,100,4.8,0
"exp",601,379,"common","regularly",20,60,NA,NA
"exp",601,379,"computer","internet",20,60,NA,NA
"exp",601,379,"computer","monitor",100,100,1.4,NA
"exp",601,379,"computer","mouse",60,80,NA,NA
"exp",601,379,"computer","screen",40,80,2.7,0
"exp",601,379,"dancer","performer",80,80,2.6,NA
"exp",601,379,"dancer","stage",40,60,3.9,0
