CUE,TARGET, FSG, BSG, QSS, TSS
ACCOUNT,MONEY,0.312,0,14,19
ACCOUNT,BANK,0.277,0.035,14,6
ACCOUNT,NUMBER,0.092,0,14,17
ACCOUNT,CHECKING,0.035,0.44,14,10
ACCOUNT,BOOK,0.021,0,14,15
ACCOUNT,CHARGE,0.021,0.064,14,13
ACCOUNT,CHECKBOOK,0.021,0.041,14,11
ACCOUNT,FOR,0.021,0,14,13
ACCOUNT,LIST,0.021,0,14,14
ACCOUNT,ANTE,0.014, NA,14, NA
ACCOUNT,BALANCE,0.014,0,14,13
ACCOUNT,LOG,0.014,0,14,9
ACCOUNT,SAVINGS,0.014, NA,14, NA
ACCOUNT,STORE,0.014,0,14,17
ACCUMULATE,GATHER,0.205,0,20,20
ACCUMULATE,COLLECT,0.159,0,20,18
ACCUMULATE,PILE,0.066,0,20,20
ACCUMULATE,ADD,0.053,0,20,11
ACCUMULATE,BUILD,0.04,0,20,18
ACCUMULATE,GAIN,0.04,0,20,10
ACCUMULATE,ACQUIRE,0.026,0.041,20,17
ACCUMULATE,CLUTTER,0.026, NA,20, NA
ACCUMULATE,GROW,0.02,0,20,24
ACCUMULATE,MONEY,0.02,0,20,19
ACCUMULATE,SAVE,0.02,0,20,17
ACCUMULATE,STORE,0.02,0,20,17
ACCUMULATE,WEALTH,0.02,0,20,11
ACCUMULATE,ADDITION,0.013,0,20,8
ACCUMULATE,AMASS,0.013, NA,20, NA
ACCUMULATE,LOTS,0.013,0,20,16
ACCUMULATE,NUMBERS,0.013,0,20,15
ACCUMULATE,PAPER,0.013,0,20,15
ACCUMULATE,THINGS,0.013,0,20,12
ACCUMULATE,TOGETHER,0.013,0,20,19
ACCURATE,CORRECT,0.215,0,15,7
ACCURATE,RIGHT,0.168,0,15,3
ACCURATE,PRECISE,0.134,0.167,15,8
ACCURATE,TRUE,0.04,0,15,14
ACCURATE,EXACT,0.027,0,15,14
ACCURATE,FALSE,0.02,0,15,4
ACCURATE,CALCULATOR,0.013,0,15,12
ACCURATE,CLOSE,0.013,0,15,9
ACCURATE,CONCISE,0.013, NA,15, NA
ACCURATE,DETAILED,0.013, NA,15, NA
ACCURATE,GOOD,0.013,0,15,8
ACCURATE,INACCURATE,0.013, NA,15, NA
ACCURATE,PERFECT,0.013,0,15,18
ACCURATE,STRAIGHT,0.013,0,15,12
ACCURATE,WRONG,0.013,0,15,6
ACCUSE,BLAME,0.159,0.185,20,22
ACCUSE,GUILTY,0.098,0,20,18
ACCUSE,CRIME,0.038,0,20,24
ACCUSE,GUILT,0.038,0,20,19
ACCUSE,PROSECUTE,0.038,0.013,20,21
ACCUSE,VICTIM,0.038,0.015,20,20
ACCUSE,COURT,0.03,0,20,17
ACCUSE,LAWYER,0.03,0,20,13
ACCUSE,POINT,0.03,0,20,24
ACCUSE,DEFEND,0.023,0,20,17
ACCUSE,DENY,0.023,0,20,18
ACCUSE,JUDGE,0.023,0,20,17
ACCUSE,LIE,0.023,0,20,18
ACCUSE,TELL,0.023,0,20,19
ACCUSE,TRIAL,0.023,0,20,14
ACCUSE,YELL,0.023,0,20,9
