cue,target,fsg,bsg,msg,qcon,tcon,qfr,tfr,jcn,lsa
accuse,deny,.023,0.000,0.0000,,2.63,10,47,15.783326,0.142827
accuse,judge,.023,0.000,.0130,,6.25,10,77,12.089559,0.404007
accuse,lie,.023,0.000,.0070,,4.04,10,59,14.089865,0.081024
accuse,point,.030,0.000,.0080,,4.54,10,395,15.063644,0.068725
accuse,police,.015,0.000,0.0000,,6.69,10,155,17.405834,0.172970
accuse,prosecute,.038,.013,0.0000,,,10,2,16.680289,0.228648
accuse,tell,.023,0.000,0.0000,,3.02,10,268,12.602712,0.074819
accuse,yell,.023,0.000,0.0000,,4.29,10,9,15.847861,0.110173
ace,bandage,.131,.026,0.0000,3.78,6.35,15,4,15.724259,0.042491
ace,cards,.303,0.000,.0620,3.78,5.61,15,26,13.624349,0.035179
ace,expert,.021,0.000,0.0000,3.78,3.87,15,30,3.096761,0.124149
ace,hole,.062,0.000,0.0000,3.78,4.81,15,58,11.077264,0.015670
ace,jack,.014,0.000,0.0000,3.78,5.20,15,92,5.629141,0.108804
ace,king,.021,0.000,0.0000,3.78,5.54,15,88,5.873094,0.086743
ace,one,.014,0.000,0.0000,3.78,3.72,15,3292,0.000000,0.167254
ace,poker,.028,0.000,.0440,3.78,4.92,15,6,15.696123,0.162376
ace,smart,.014,0.000,.0020,3.78,3.00,15,21,17.110396,0.131811
ace,tennis,.021,0.000,0.0000,3.78,5.54,15,15,16.952313,0.179833
ace,top,.021,0.000,0.0000,3.78,4.31,15,204,10.025163,0.004740
ace,winner,.014,0.000,0.0000,3.78,4.08,15,8,13.510410,0.120006
ache,back,.042,.034,.0160,4.33,4.89,4,967,14.089865,0.351636
ache,belly,.014,.069,0.0000,4.33,6.04,4,23,18.522978,0.316476
ache,head,.188,.082,.0070,4.33,5.98,4,424,13.293806,0.250276
ache,hurt,.153,0.000,.2850,4.33,3.66,4,37,0.000000,0.396626
ache,pain,.507,.013,.0820,4.33,4.22,4,88,2.739546,0.295702
ache,sore,.021,.056,.0020,4.33,4.77,4,10,22.912132,0.334042
ache,tooth,.014,.123,0.0000,4.33,6.15,4,20,21.235029,0.101470
achieve,accomplish,.076,.122,.0040,,2.78,51,24,0.000000,0.579881
achieve,conquer,.015,0.000,.0010,,,51,4,13.693940,0.058650
achieve,do,.038,.011,.0110,,2.72,51,1363,10.953142,0.229442
achieve,earn,.015,0.000,0.0000,,3.45,51,16,12.740639,0.154700
achieve,fail,.038,0.000,.0060,,3.23,51,37,13.445740,0.371831
achieve,finish,.023,0.000,.0260,,2.78,51,39,12.505002,0.087660
achieve,gain,.053,.016,.0010,,3.21,51,74,11.366995,0.330115
achieve,get,.045,0.000,.0070,,2.86,51,750,10.200855,0.098645
achieve,grade,.023,0.000,.0010,,3.70,51,35,13.311148,0.111361
achieve,reach,.015,.014,.0030,,3.55,51,106,0.000000,0.267281
achieve,receive,.015,0.000,.0050,,2.98,51,76,10.819466,0.184714
achieve,strive,.030,.139,0.0000,,,51,7,14.522641,0.474520
achieve,succeed,.038,.017,.0080,,3.00,51,15,0.668787,0.417370
achieve,win,.076,0.000,.0240,,2.88,51,55,0.668787,0.103144
achievement,a,.020,0.000,.0110,3.15,,65,9999,9.361017,0.203535
achievement,award,.081,.021,0.0000,3.15,4.58,65,46,10.364628,0.076963
achievement,college,.013,0.000,.0020,3.15,5.35,65,267,13.840639,0.225210
achievement,degree,.013,0.000,0.0000,3.15,,65,125,10.677943,0.198609
achievement,failure,.034,0.000,.0520,3.15,2.56,65,89,6.914386,0.372644
achievement,goal,.221,0.000,.0090,3.15,3.40,65,60,5.213030,0.252961
achievement,grade,.040,0.000,.0020,3.15,3.70,65,35,11.710150,0.425267
achievement,honor,.034,.014,.0080,3.15,1.75,65,66,10.606028,0.075375
achievement,money,.013,0.000,.0230,3.15,5.77,65,265,13.217198,0.047452
achievement,pride,.020,0.000,.0060,3.15,1.49,65,42,10.711570,0.121308
achievement,success,.161,.020,.0110,3.15,2.88,65,93,2.351176,0.532572
achievement,test,.013,0.000,.0020,3.15,5.08,65,119,8.211462,0.434822
achievement,win,.020,.020,.0380,3.15,2.88,65,55,15.094340,0.095131
