"date","time","subject","trialcode","trialnum","latency","response","partno"
41212,"17:27","7","real96",116,3470,"3","4121217:277"
41212,"17:27","7","real46",117,1157,"10","4121217:277"
41212,"17:27","7","real47",118,2389,"10","4121217:277"
41212,"17:27","7","real85",119,4190,"9","4121217:277"
41212,"17:27","7","confidence",120,2342,"9","4121217:277"
41212,"17:27","7","followup2",1,18406,"1","4121217:277"
41212,"17:27","7","followup1",2,19157,"3","4121217:277"
90412,"14:26","79","article",1,10518,"read","9041214:2679"
90412,"14:26","79","old",2,10714,"grany","9041214:2679"
90412,"14:26","79","lost",3,15615,"woods","9041214:2679"
90412,"14:26","79","prac3",1,22283,"4","9041214:2679"
90412,"14:26","79","prac8",2,16253,"8","9041214:2679"
90412,"14:26","79","prac7",3,9598,"5","9041214:2679"
90412,"14:26","79","prac4",4,8862,"8","9041214:2679"
90412,"14:26","79","prac5",5,6076,"8","9041214:2679"
90412,"14:26","79","prac1",6,7928,"4","9041214:2679"
90412,"14:26","79","prac2",7,7402,"8","9041214:2679"
90412,"14:26","79","prac6",8,5170,"9","9041214:2679"
90412,"14:26","79","real33",1,5678,"8","9041214:2679"
90412,"14:26","79","real35",2,21064,"10","9041214:2679"
90412,"14:26","79","real79",3,4347,"6","9041214:2679"
90412,"14:26","79","real18",4,6220,"8","9041214:2679"
90412,"14:26","79","confidence",5,11842,"7","9041214:2679"
90412,"14:26","79","real24",6,10122,"7","9041214:2679"
90412,"14:26","79","real54",7,7406,"9","9041214:2679"
90412,"14:26","79","real48",8,7389,"10","9041214:2679"
90412,"14:26","79","real6",9,6917,"8","9041214:2679"
90412,"14:26","79","confidence",10,8992,"8","9041214:2679"
90412,"14:26","79","real7",11,8016,"8","9041214:2679"
90412,"14:26","79","real68",12,7615,"10","9041214:2679"
90412,"14:26","79","real38",13,8007,"8","9041214:2679"
90412,"14:26","79","real58",14,7039,"10","9041214:2679"
90412,"14:26","79","confidence",15,5525,"10","9041214:2679"
90412,"14:26","79","real86",16,8071,"7","9041214:2679"
90412,"14:26","79","real17",17,7468,"7","9041214:2679"
90412,"14:26","79","real71",18,5537,"9","9041214:2679"
90412,"14:26","79","real66",19,4955,"7","9041214:2679"
90412,"14:26","79","confidence",20,4363,"7","9041214:2679"
90412,"14:26","79","real19",21,5819,"10","9041214:2679"
90412,"14:26","79","real67",22,7818,"8","9041214:2679"
90412,"14:26","79","real32",23,7337,"9","9041214:2679"
90412,"14:26","79","real43",24,4579,"10","9041214:2679"
90412,"14:26","79","confidence",25,4050,"10","9041214:2679"
90412,"14:26","79","real93",26,7487,"8","9041214:2679"
90412,"14:26","79","real15",27,16107,"4","9041214:2679"
90412,"14:26","79","real16",28,9217,"6","9041214:2679"
90412,"14:26","79","real61",29,3649,"8","9041214:2679"
90412,"14:26","79","confidence",30,3405,"7","9041214:2679"
90412,"14:26","79","real44",31,9355,"8","9041214:2679"
90412,"14:26","79","real88",32,8398,"6","9041214:2679"
90412,"14:26","79","real69",33,10709,"8","9041214:2679"
90412,"14:26","79","real34",34,5690,"10","9041214:2679"
90412,"14:26","79","confidence",35,4269,"10","9041214:2679"
90412,"14:26","79","real13",36,9104,"7","9041214:2679"
90412,"14:26","79","real56",37,8861,"7","9041214:2679"
90412,"14:26","79","real80",38,5187,"8","9041214:2679"
90412,"14:26","79","real36",39,6378,"5","9041214:2679"
90412,"14:26","79","confidence",40,2883,"7","9041214:2679"
90412,"14:26","79","real62",41,7797,"10","9041214:2679"
90412,"14:26","79","real75",42,6005,"9","9041214:2679"
90412,"14:26","79","real39",43,7916,"10","9041214:2679"
90412,"14:26","79","real26",44,9095,"7","9041214:2679"
90412,"14:26","79","confidence",45,3747,"7","9041214:2679"
90412,"14:26","79","real37",46,6964,"9","9041214:2679"
90412,"14:26","79","real90",47,9580,"7","9041214:2679"
90412,"14:26","79","real72",48,3934,"7","9041214:2679"
90412,"14:26","79","real30",49,4702,"9","9041214:2679"
90412,"14:26","79","confidence",50,3313,"8","9041214:2679"
90412,"14:26","79","real77",51,6171,"8","9041214:2679"
90412,"14:26","79","real59",52,8019,"10","9041214:2679"
90412,"14:26","79","real73",53,5483,"8","9041214:2679"
90412,"14:26","79","real89",54,8661,"6","9041214:2679"
90412,"14:26","79","confidence",55,6012,"8","9041214:2679"
90412,"14:26","79","real82",56,7218,"7","9041214:2679"
90412,"14:26","79","real94",57,8473,"10","9041214:2679"
90412,"14:26","79","real64",58,7990,"10","9041214:2679"
90412,"14:26","79","real20",59,10855,"7","9041214:2679"
90412,"14:26","79","confidence",60,3253,"6","9041214:2679"
90412,"14:26","79","real5",61,6089,"8","9041214:2679"
90412,"14:26","79","real40",62,11053,"6","9041214:2679"
90412,"14:26","79","real22",63,8868,"9","9041214:2679"
90412,"14:26","79","real25",64,8202,"9","9041214:2679"
90412,"14:26","79","confidence",65,2858,"9","9041214:2679"
90412,"14:26","79","real9",66,5461,"6","9041214:2679"
90412,"14:26","79","real53",67,4066,"6","9041214:2679"
90412,"14:26","79","real60",68,11950,"6","9041214:2679"
90412,"14:26","79","real92",69,4457,"6","9041214:2679"
90412,"14:26","79","confidence",70,2414,"6","9041214:2679"
90412,"14:26","79","real91",71,5379,"8","9041214:2679"
90412,"14:26","79","real8",72,4010,"8","9041214:2679"
90412,"14:26","79","real4",73,2144,"8","9041214:2679"
90412,"14:26","79","real49",74,4072,"9","9041214:2679"
90412,"14:26","79","confidence",75,1932,"9","9041214:2679"
90412,"14:26","79","real31",76,5924,"6","9041214:2679"
90412,"14:26","79","real55",77,3582,"7","9041214:2679"
90412,"14:26","79","real14",78,1981,"9","9041214:2679"
90412,"14:26","79","real42",79,6868,"7","9041214:2679"
90412,"14:26","79","confidence",80,1845,"7","9041214:2679"
90412,"14:26","79","real50",81,5542,"8","9041214:2679"
90412,"14:26","79","real12",82,5172,"7","9041214:2679"
90412,"14:26","79","real11",83,2914,"8","9041214:2679"
90412,"14:26","79","real65",84,2275,"9","9041214:2679"
90412,"14:26","79","confidence",85,1941,"7","9041214:2679"
90412,"14:26","79","real95",86,2870,"9","9041214:2679"
90412,"14:26","79","real52",87,5481,"10","9041214:2679"
90412,"14:26","79","real78",88,7205,"7","9041214:2679"
90412,"14:26","79","real81",89,2566,"9","9041214:2679"
90412,"14:26","79","confidence",90,2036,"7","9041214:2679"
90412,"14:26","79","real76",91,4801,"8","9041214:2679"
90412,"14:26","79","real45",92,3751,"7","9041214:2679"
90412,"14:26","79","real29",93,4157,"8","9041214:2679"
90412,"14:26","79","real83",94,3541,"8","9041214:2679"
90412,"14:26","79","confidence",95,2061,"7","9041214:2679"
90412,"14:26","79","real51",96,5529,"10","9041214:2679"
90412,"14:26","79","real74",97,3922,"8","9041214:2679"
90412,"14:26","79","real1",98,3473,"7","9041214:2679"
90412,"14:26","79","real63",99,3605,"9","9041214:2679"
90412,"14:26","79","confidence",100,4131,"8","9041214:2679"
90412,"14:26","79","real41",101,5557,"8","9041214:2679"
90412,"14:26","79","real57",102,2990,"9","9041214:2679"
90412,"14:26","79","real70",103,4598,"7","9041214:2679"
90412,"14:26","79","real10",104,4708,"7","9041214:2679"
90412,"14:26","79","confidence",105,1727,"6","9041214:2679"
90412,"14:26","79","real28",106,3288,"8","9041214:2679"
90412,"14:26","79","real27",107,2315,"9","9041214:2679"
90412,"14:26","79","real84",108,4332,"9","9041214:2679"
90412,"14:26","79","real87",109,2221,"8","9041214:2679"
90412,"14:26","79","confidence",110,2083,"8","9041214:2679"
90412,"14:26","79","real2",111,3285,"8","9041214:2679"
90412,"14:26","79","real3",112,4056,"8","9041214:2679"
90412,"14:26","79","real21",113,2276,"9","9041214:2679"
90412,"14:26","79","real23",114,3839,"9","9041214:2679"
90412,"14:26","79","confidence",115,1908,"9","9041214:2679"
90412,"14:26","79","real96",116,6470,"8","9041214:2679"
90412,"14:26","79","real46",117,1867,"8","9041214:2679"
90412,"14:26","79","real47",118,3446,"9","9041214:2679"
90412,"14:26","79","real85",119,12682,"6","9041214:2679"
90412,"14:26","79","confidence",120,5528,"7","9041214:2679"
90412,"14:26","79","followup1",1,101428,"3","9041214:2679"
90412,"14:26","79","followup2",2,29981,"1","9041214:2679"
82812,"11:36","14234","lost",1,23015,"found dog keys","8281211:3614234"
82812,"11:36","14234","article",2,7476,"clothing","8281211:3614234"
82812,"11:36","14234","old",3,3673,"young ","8281211:3614234"
82812,"11:36","14234","prac2",1,3811,"8","8281211:3614234"
82812,"11:36","14234","prac1",2,19289,"10","8281211:3614234"
82812,"11:36","14234","prac8",3,3309,"9","8281211:3614234"
82812,"11:36","14234","prac3",4,1263,"4","8281211:3614234"
82812,"11:36","14234","prac7",5,1114,"3","8281211:3614234"
82812,"11:36","14234","prac4",6,1147,"2","8281211:3614234"
82812,"11:36","14234","prac5",7,922,"9","8281211:3614234"
82812,"11:36","14234","prac6",8,1211,"8","8281211:3614234"
82812,"11:36","14234","real33",1,1129,"6","8281211:3614234"
82812,"11:36","14234","real35",2,488,"9","8281211:3614234"
82812,"11:36","14234","real79",3,746,"6","8281211:3614234"
82812,"11:36","14234","real18",4,890,"6","8281211:3614234"
82812,"11:36","14234","confidence",5,11883,"1","8281211:3614234"
82812,"11:36","14234","real24",6,1121,"5","8281211:3614234"
82812,"11:36","14234","real54",7,7578,"6","8281211:3614234"
82812,"11:36","14234","real48",8,2701,"0","8281211:3614234"
82812,"11:36","14234","followup2",1,15236,"1","8281211:3614234"
82812,"11:36","14234","followup1",2,798,"3","8281211:3614234"
82812,"11:39","45465465","real33",1,422,"0","8281211:3945465465"
82812,"11:39","45465465","followup1",1,675,"0","8281211:3945465465"
90412,"09:05","8","old",1,26848,"grandparents","9041209:058"
90412,"09:05","8","article",2,9549,"newspaper","9041209:058"
90412,"09:05","8","lost",3,19008,"dog","9041209:058"
90412,"09:05","8","prac3",1,32009,"3","9041209:058"
90412,"09:05","8","prac8",2,16553,"9","9041209:058"
90412,"09:05","8","prac6",3,10021,"6","9041209:058"
90412,"09:05","8","prac5",4,29060,"4","9041209:058"
90412,"09:05","8","prac7",5,9105,"6","9041209:058"
90412,"09:05","8","prac2",6,12469,"8","9041209:058"
90412,"09:05","8","prac4",7,7091,"5","9041209:058"
90412,"09:05","8","prac1",8,7703,"3","9041209:058"
90412,"09:05","8","real33",1,21190,"5","9041209:058"
90412,"09:05","8","real35",2,14106,"7","9041209:058"
90412,"09:05","8","real79",3,7639,"4","9041209:058"
90412,"09:05","8","real18",4,9886,"8","9041209:058"
90412,"09:05","8","confidence",5,28530,"9","9041209:058"
90412,"09:05","8","real24",6,18043,"9","9041209:058"
90412,"09:05","8","real54",7,5804,"9","9041209:058"
90412,"09:05","8","real48",8,5539,"9","9041209:058"
90412,"09:05","8","real6",9,9477,"10","9041209:058"
90412,"09:05","8","confidence",10,14177,"9","9041209:058"
90412,"09:05","8","real7",11,11612,"9","9041209:058"
90412,"09:05","8","real68",12,5364,"8","9041209:058"
90412,"09:05","8","real38",13,9732,"7","9041209:058"
90412,"09:05","8","real58",14,12695,"9","9041209:058"
90412,"09:05","8","confidence",15,6060,"9","9041209:058"
90412,"09:05","8","real86",16,15112,"5","9041209:058"
90412,"09:05","8","real17",17,7198,"7","9041209:058"
90412,"09:05","8","real71",18,22653,"9","9041209:058"
90412,"09:05","8","real66",19,4503,"8","9041209:058"
90412,"09:05","8","confidence",20,5962,"9","9041209:058"
90412,"09:05","8","real19",21,9634,"10","9041209:058"
90412,"09:05","8","real67",22,5001,"9","9041209:058"
90412,"09:05","8","real32",23,5863,"3","9041209:058"
90412,"09:05","8","real43",24,4603,"2","9041209:058"
90412,"09:05","8","confidence",25,10354,"2","9041209:058"
90412,"09:05","8","real93",26,6013,"6","9041209:058"
90412,"09:05","8","real15",27,7331,"6","9041209:058"
90412,"09:05","8","real16",28,6293,"7","9041209:058"
90412,"09:05","8","real61",29,6864,"10","9041209:058"
90412,"09:05","8","confidence",30,6516,"5","9041209:058"
90412,"09:05","8","real44",31,14087,"7","9041209:058"
90412,"09:05","8","real88",32,70108,"5","9041209:058"
90412,"09:05","8","real69",33,4476,"6","9041209:058"
90412,"09:05","8","real34",34,4919,"9","9041209:058"
90412,"09:05","8","confidence",35,5657,"8","9041209:058"
90412,"09:05","8","real13",36,6678,"8","9041209:058"
90412,"09:05","8","real56",37,9986,"7","9041209:058"
90412,"09:05","8","real80",38,5843,"7","9041209:058"
90412,"09:05","8","real36",39,5976,"5","9041209:058"
90412,"09:05","8","confidence",40,4671,"6","9041209:058"
90412,"09:05","8","real62",41,8947,"9","9041209:058"
90412,"09:05","8","real75",42,7525,"9","9041209:058"
90412,"09:05","8","real39",43,3439,"9","9041209:058"
90412,"09:05","8","real26",44,4556,"9","9041209:058"
90412,"09:05","8","confidence",45,2973,"9","9041209:058"
90412,"09:05","8","real37",46,5380,"9","9041209:058"
90412,"09:05","8","real90",47,5155,"8","9041209:058"
90412,"09:05","8","real72",48,4404,"6","9041209:058"
90412,"09:05","8","real30",49,3059,"9","9041209:058"
90412,"09:05","8","confidence",50,5679,"6","9041209:058"
90412,"09:05","8","real77",51,5954,"6","9041209:058"
90412,"09:05","8","real59",52,6947,"8","9041209:058"
90412,"09:05","8","real73",53,4437,"8","9041209:058"
90412,"09:05","8","real89",54,3754,"9","9041209:058"
90412,"09:05","8","confidence",55,2634,"9","9041209:058"
90412,"09:05","8","real82",56,2782,"9","9041209:058"
90412,"09:05","8","real94",57,10845,"10","9041209:058"
90412,"09:05","8","real64",58,5716,"10","9041209:058"
90412,"09:05","8","real20",59,6958,"5","9041209:058"
90412,"09:05","8","confidence",60,7279,"5","9041209:058"
90412,"09:05","8","real5",61,7123,"9","9041209:058"
90412,"09:05","8","real40",62,2686,"9","9041209:058"
90412,"09:05","8","real22",63,2920,"9","9041209:058"
90412,"09:05","8","real25",64,8282,"9","9041209:058"
90412,"09:05","8","confidence",65,5638,"8","9041209:058"
90412,"09:05","8","real9",66,4156,"9","9041209:058"
90412,"09:05","8","real53",67,6548,"3","9041209:058"
90412,"09:05","8","real60",68,6597,"5","9041209:058"
90412,"09:05","8","real92",69,8388,"10","9041209:058"
90412,"09:05","8","confidence",70,4909,"10","9041209:058"
90412,"09:05","8","real91",71,4479,"4","9041209:058"
90412,"09:05","8","real8",72,4547,"5","9041209:058"
90412,"09:05","8","real4",73,5011,"10","9041209:058"
90412,"09:05","8","real49",74,13489,"9","9041209:058"
90412,"09:05","8","confidence",75,11590,"9","9041209:058"
90412,"09:05","8","real31",76,13160,"5","9041209:058"
90412,"09:05","8","real55",77,8475,"10","9041209:058"
90412,"09:05","8","real14",78,2959,"7","9041209:058"
90412,"09:05","8","real42",79,3975,"6","9041209:058"
90412,"09:05","8","confidence",80,3719,"7","9041209:058"
90412,"09:05","8","real50",81,9888,"10","9041209:058"
90412,"09:05","8","real12",82,4933,"10","9041209:058"
90412,"09:05","8","real11",83,6222,"10","9041209:058"
90412,"09:05","8","real65",84,6149,"9","9041209:058"
90412,"09:05","8","confidence",85,2830,"9","9041209:058"
90412,"09:05","8","real95",86,4875,"10","9041209:058"
90412,"09:05","8","real52",87,4759,"10","9041209:058"
90412,"09:05","8","real78",88,6199,"4","9041209:058"
90412,"09:05","8","real81",89,3910,"10","9041209:058"
90412,"09:05","8","confidence",90,3455,"10","9041209:058"
90412,"09:05","8","real76",91,7532,"10","9041209:058"
90412,"09:05","8","real45",92,5590,"5","9041209:058"
90412,"09:05","8","real29",93,5733,"10","9041209:058"
90412,"09:05","8","real83",94,3791,"10","9041209:058"
90412,"09:05","8","confidence",95,7206,"9","9041209:058"
90412,"09:05","8","real51",96,5165,"8","9041209:058"
90412,"09:05","8","real74",97,3462,"9","9041209:058"
90412,"09:05","8","real1",98,3977,"7","9041209:058"
90412,"09:05","8","real63",99,3904,"9","9041209:058"
90412,"09:05","8","confidence",100,2586,"9","9041209:058"
90412,"09:05","8","real41",101,3697,"10","9041209:058"
90412,"09:05","8","real57",102,4539,"6","9041209:058"
90412,"09:05","8","real70",103,6452,"9","9041209:058"
90412,"09:05","8","real10",104,3409,"4","9041209:058"
90412,"09:05","8","confidence",105,6055,"9","9041209:058"
90412,"09:05","8","real28",106,3356,"7","9041209:058"
90412,"09:05","8","real27",107,3229,"9","9041209:058"
90412,"09:05","8","real84",108,4129,"6","9041209:058"
90412,"09:05","8","real87",109,3842,"10","9041209:058"
90412,"09:05","8","confidence",110,4686,"10","9041209:058"
90412,"09:05","8","real2",111,3538,"5","9041209:058"
90412,"09:05","8","real3",112,3899,"6","9041209:058"
90412,"09:05","8","real21",113,26716,"9","9041209:058"
90412,"09:05","8","real23",114,2262,"9","9041209:058"
90412,"09:05","8","confidence",115,3713,"10","9041209:058"
90412,"09:05","8","real96",116,2763,"9","9041209:058"
90412,"09:05","8","real46",117,5522,"10","9041209:058"
90412,"09:05","8","real47",118,4148,"10","9041209:058"
90412,"09:05","8","real85",119,10293,"10","9041209:058"
90412,"09:05","8","confidence",120,3113,"6","9041209:058"
90412,"09:05","8","followup1",1,61553,"3","9041209:058"
90412,"09:05","8","followup2",2,41812,"1","9041209:058"
90412,"10:34","8","old",1,6897,"Young","9041210:348"
90412,"10:34","8","article",2,7621,"Newspaper","9041210:348"
90412,"10:34","8","lost",3,4869,"Found","9041210:348"
90412,"10:34","8","prac8",1,11058,"9","9041210:348"
90412,"10:34","8","prac6",2,3032,"9","9041210:348"
90412,"10:34","8","prac7",3,3309,"3","9041210:348"
90412,"10:34","8","prac1",4,5703,"3","9041210:348"
90412,"10:34","8","prac3",5,2306,"4","9041210:348"
90412,"10:34","8","prac2",6,2923,"10","9041210:348"
90412,"10:34","8","prac5",7,3413,"8","9041210:348"
90412,"10:34","8","prac4",8,3282,"6","9041210:348"
90412,"10:34","8","real33",1,4466,"8","9041210:348"
90412,"10:34","8","real35",2,3142,"8","9041210:348"
90412,"10:34","8","real79",3,2207,"4","9041210:348"
90412,"10:34","8","real18",4,6092,"8","9041210:348"
90412,"10:34","8","confidence",5,4592,"6","9041210:348"
90412,"10:34","8","real24",6,5422,"9","9041210:348"
90412,"10:34","8","real54",7,5085,"9","9041210:348"
90412,"10:34","8","real48",8,4072,"5","9041210:348"
90412,"10:34","8","real6",9,1676,"10","9041210:348"
90412,"10:34","8","confidence",10,5063,"9","9041210:348"
90412,"10:34","8","real7",11,3347,"9","9041210:348"
90412,"10:34","8","real68",12,3611,"7","9041210:348"
90412,"10:34","8","real38",13,4048,"10","9041210:348"
90412,"10:34","8","real58",14,3325,"10","9041210:348"
90412,"10:34","8","confidence",15,2879,"8","9041210:348"
90412,"10:34","8","real86",16,2377,"7","9041210:348"
90412,"10:34","8","real17",17,2471,"10","9041210:348"
90412,"10:34","8","real71",18,2899,"9","9041210:348"
90412,"10:34","8","real66",19,3052,"8","9041210:348"
90412,"10:34","8","confidence",20,3345,"8","9041210:348"
90412,"10:34","8","real19",21,2865,"10","9041210:348"
90412,"10:34","8","real67",22,2204,"10","9041210:348"
90412,"10:34","8","real32",23,2298,"8","9041210:348"
90412,"10:34","8","real43",24,2523,"9","9041210:348"
90412,"10:34","8","confidence",25,2117,"6","9041210:348"
90412,"10:34","8","real93",26,3405,"10","9041210:348"
90412,"10:34","8","real15",27,3564,"7","9041210:348"
90412,"10:34","8","real16",28,1467,"8","9041210:348"
90412,"10:34","8","real61",29,1950,"10","9041210:348"
90412,"10:34","8","confidence",30,1886,"10","9041210:348"
90412,"10:34","8","real44",31,3656,"5","9041210:348"
90412,"10:34","8","real88",32,4028,"7","9041210:348"
90412,"10:34","8","real69",33,1722,"10","9041210:348"
90412,"10:34","8","real34",34,4122,"9","9041210:348"
90412,"10:34","8","confidence",35,1772,"8","9041210:348"
90412,"10:34","8","real13",36,5563,"8","9041210:348"
90412,"10:34","8","real56",37,1251,"10","9041210:348"
90412,"10:34","8","real80",38,1919,"9","9041210:348"
90412,"10:34","8","real36",39,2312,"3","9041210:348"
90412,"10:34","8","confidence",40,2641,"4","9041210:348"
90412,"10:34","8","real62",41,4525,"8","9041210:348"
90412,"10:34","8","real75",42,3143,"10","9041210:348"
90412,"10:34","8","real39",43,2511,"10","9041210:348"
90412,"10:34","8","real26",44,5040,"5","9041210:348"
90412,"10:34","8","confidence",45,2405,"7","9041210:348"
90412,"10:34","8","real37",46,4179,"9","9041210:348"
90412,"10:34","8","real90",47,2730,"9","9041210:348"
90412,"10:34","8","real72",48,1891,"7","9041210:348"
90412,"10:34","8","real30",49,1485,"10","9041210:348"
90412,"10:34","8","confidence",50,1551,"9","9041210:348"
90412,"10:34","8","real77",51,1703,"10","9041210:348"
90412,"10:34","8","real59",52,1841,"8","9041210:348"
