#Q T JAM SIM fsg JCNcomp LSA300 BGLcomp qfr tfr logqfr logtfr qss tss
circus clown 57.053 62.96 0.594 2.557 0.52 0.371826282 7 3 2.0794 1.3863 13 11
material cloth 50.526 78.35 0.15 23.09 0.24 0.506520451 174 40 5.1648 3.7136 17 21
wardrobe clothes 53.842 84.5 0.78 17.004 0.58 0.279879349 9 89 2.3026 4.4998 4 26
jacket coat 56.895 82.96 0.564 22.191 0.6 0.672863781 33 43 3.5264 3.7842 15 17
comprehend understand 64.684 87.58 0.829 20.029 0.52 0.522599311 10 137 2.3979 4.9273 4 12
sheriff cop 59.737 79.88 0.254 17.468 0.31 0.328062164 20 15 3.0445 2.7726 8 16
lid cover 42.526 79.88 0.326 20.291 0.35 0.362888967 19 88 2.9957 4.4886 10 23
cricket grasshopper 43.211 69.88 0.074 21.55 0.42 0.351269471 3 4 1.3863 1.6094 14 14
law criminal 47.737 40.65 0.031 6.865 0.61 0.577027988 299 24 5.7038 3.2189 14 18
cup saucer 33.053 57.58 0.418 16.076 0.4 0.423017385 45 2 3.8286 1.0986 10 11
dine eat 52.211 86.04 0.551 17.671 0.24 0.32253501 2 61 1.0986 4.1271 6 11
mud dirt 65.895 79.12 0.599 21.563 0.5 0.648484001 32 43 3.4965 3.7842 10 18
divide multiply 68.684 52.19 0.253 16.404 0.28 0.525129942 14 10 2.7081 2.3979 15 11
surgeon doctor 56.526 74.5 0.479 19.304 0.64 0.558179583 11 100 2.4849 4.6151 8 19
document paper 43.368 64.5 0.408 18.359 0.25 0.455042158 13 157 2.6391 5.0626 17 15
washer dryer 66.842 50.65 0.755 15.298 0.45 0.269827867 2 4 1.0986 1.6094 6 9
omelet eggs 62.842 74.5 0.836 8.242 0.07 -0.02223769 3 35 1.3863 3.5835 4 21
eight nine 58.474 48.35 0.634 14.557 0.74 0.734885823 104 81 4.6540 4.4067 8 9
heritage family 49.526 60.65 0.149 8.199 0.1 0.226879631 21 331 3.0910 5.8051 21 25
swift fast 48.316 83.73 0.606 2.265 0.32 0.206167408 32 78 3.4965 4.3694 7 7
gender female 48.158 67.58 0.24 6.983 0.45 0.134530327 2 50 1.0986 3.9318 9 12
trouble fight 35.421 45.27 0.027 21.304 0.37 0.371614729 134 98 4.9053 4.5951 18 24
match fire 55.895 45.27 0.245 14.542 0.47 0.403101135 41 187 3.7377 5.2364 18 18
trout fish 57.421 86.81 0.913 20.652 0.85 0.543169407 4 35 1.6094 3.5835 2 24
four five 57.789 52.19 0.395 16.848 0.77 0.793931747 359 286 5.8861 5.6595 15 14
follower leader 39.474 36.81 0.605 16.303 0.13 0.361291735 3 74 1.3863 4.3175 11 22
recipe food 48.737 46.81 0.377 8.727 0.29 0.340541828 8 147 2.1972 4.9972 11 18
frame picture 54.947 59.12 0.811 19.506 0.16 0.459371031 74 162 4.3175 5.0938 7 11
stranger friend 21.737 40.65 0.194 11.283 0.41 0.510779055 40 133 3.7136 4.8978 20 22
glide slide 25.579 76.04 0.215 23.09 0.18 0.213529948 2 20 1.0986 3.0445 21 19
hammer nail 61.053 49.88 0.8 11.037 0.5 0.552938672 9 6 2.3026 1.9459 7 6
hem sew 43.842 71.42 0.218 19.502 0.3 0.04605074 4 6 1.6094 1.9459 11 21
honesty truth 65.684 85.27 0.446 11.439 0.35 0.281748612 10 126 2.3979 4.8442 16 17
honey sweet 47.895 62.19 0.451 11.428 0.52 0.377534042 25 70 3.2581 4.2627 10 12
mare horse 46.947 68.35 0.74 19.591 0.8 0.46678191 16 117 2.8332 4.7707 5 16
lobby hotel 50.053 50.65 0.345 13.191 0.55 0.546216016 20 126 3.0445 4.8442 16 16
idea plan 38.105 61.42 0.026 20.903 0.19 0.451586553 195 205 5.2781 5.3279 17 28
incline slope 49.842 80.65 0.081 23.09 0.15 0.214236997 4 19 1.6094 2.9957 17 14
intellect smart 59.684 76.04 0.373 8.682 0.02 0.100018695 5 21 1.7918 3.0910 12 14
jet plane 60.263 79.88 0.662 21.059 0.6 0.49368351 29 114 3.4012 4.7449 10 12
jungle plant 42.947 55.27 0.014 8.585 0.09 0.556521958 20 125 3.0445 4.8363 21 14
justify reason 37.579 56.81 0.111 21.911 0.38 0.220140309 26 241 3.2958 5.4889 24 27
kin relative 50.053 77.58 0.233 20.196 0.14 0.189357317 2 46 1.0986 3.8501 12 16
thunder lightning 66.737 59.12 0.818 9.821 0.83 0.434215205 14 14 2.7081 2.7081 6 14
survive live 55.474 77.58 0.476 23.09 0.38 0.654870234 33 177 3.5264 5.1818 13 18
stamp mail 56.316 49.12 0.243 11.59 0.33 0.349036446 8 47 2.1972 3.8712 13 15
maze rat 33.632 32.96 0.102 1.749 0.19 0.228756568 6 6 1.9459 1.9459 13 19
reflection mirror 58.526 55.27 0.715 12.462 0.82 0.427446802 32 27 3.4965 3.3322 11 8
monk robe 29.474 38.35 0.016 5.288 0.2 0.139082341 16 6 2.8332 1.9459 8 18
shift move 35.105 70.65 0.324 18.136 0.2 0.414359233 41 171 3.7377 5.1475 10 27
negative positive 65.368 46.04 0.603 19.904 0.98 0.741095954 53 74 3.9890 4.3175 10 9
pane window 50.105 61.42 0.833 23.048 0.61 0.360801964 3 119 1.3863 4.7875 3 14
trousers pants 53.842 82.19 0.846 23.09 0.71 0.562946533 7 9 2.0794 2.3026 5 22
plot story 46.368 56.81 0.268 22.441 0.78 0.625243399 37 153 3.6376 5.0370 15 14
quiz test 52.158 72.19 0.792 23.09 0.1 0.164516278 2 119 1.0986 4.7875 5 17
racket tennis 63.632 59.12 0.504 5.604 0.56 0.232332221 5 15 1.7918 2.7726 3 9
rectangle square 48.053 64.5 0.716 22.634 0.52 0.336338319 4 143 1.6094 4.9698 7 13
walk run 46.421 59.12 0.465 20.095 0.39 0.76225836 100 212 4.6151 5.3613 12 10
sneaker shoe 58.632 79.88 0.628 19.171 0.39 0.171584548 2 14 1.0986 2.7081 11 14
summary short 38.053 46.81 0.129 5.376 0.18 0.41027904 21 212 3.0910 5.3613 22 9
stand sit 50.737 39.88 0.534 14.858 0.54 0.649832616 148 67 5.0039 4.2195 10 14
stain spot 49.211 69.12 0.188 23.09 0.16 0.31272379 6 57 1.9459 4.0604 24 12
tomorrow today 49.737 49.88 0.527 18.26 0.35 0.347984859 63 284 4.1589 5.6525 9 11
vow wedding 60.105 52.96 0.143 0.463 0.27 0.13657257 2 32 1.0986 3.4965 6 18
90
